Genus,type,proportion_of_CDS_per_region,proportion_of_TE_per_region
Acer,inv,0.030581218510651386,0.6746741404516383
Acer,syn,0.1019260679067253,0.3089583439649674
Actinidia,inv,0.04393593987526517,0.3305386040779668
Actinidia,syn,0.08488927148134724,0.14466073389682413
Arabis,inv,0.07850729889486034,0.5771495458422576
Arabis,syn,0.15660535834200223,0.3841433670087025
Arachis,inv,0.05142569755202424,0.5914883224227129
Arachis,syn,0.14919841139311743,0.4461182750509883
Citrus,inv,0.09852086381041417,0.31102975315723896
Citrus,syn,0.17458458343775807,0.14565245374053756
Corylus,inv,0.08694598731573203,0.3181045450912539
Corylus,syn,0.12179880575799626,0.19162730102221087
Corymbia,inv,0.10376248139708383,0.1734893142272075
Corymbia,syn,0.1264496132143589,0.127335106204462
Cucumis,inv,0.05486386393795368,0.45682963910279967
Cucumis,syn,0.10469584391368099,0.28162909434848565
Eukalyptus,inv,0.04749374339928151,0.4547437828541174
Eukalyptus,syn,0.11469851487263964,0.22536739933518207
Fragaria,inv,0.15804586990738445,0.1642202672736088
Fragaria,syn,0.2276426154531991,0.1026662387374152
Glycine,inv,0.0326394902399762,0.6395893351823206
Glycine,syn,0.0744969166914688,0.35775049778423396
Gossypium,inv,0.021889193561428776,0.7597470776266894
Gossypium,syn,0.1004016386648553,0.4417445167733339
Ipomoea,inv,0.05665222876613654,0.5995493760984252
Ipomoea,syn,0.12317983282883506,0.3605899222694437
Juglans,inv,0.04010868934068948,0.4753554318281341
Juglans,syn,0.12268994111368728,0.22764145077254588
Malus,inv,0.030954014378145458,0.7194277142474975
Malus,syn,0.12050444021086971,0.3768660522428764
Medicago,inv,0.09340174200283012,0.31597642456849656
Medicago,syn,0.1287538273899816,0.1915733997927613
Phaseolus,inv,0.06316570548612385,0.3308982954535248
Phaseolus,syn,0.1020836552754945,0.20362293032369286
Populus,inv,0.07130602284224352,0.3022516232169885
Populus,syn,0.13549368582231203,0.1186183308958163
Prunus,inv,0.11337633088981978,0.29147383368931273
Prunus,syn,0.19703839489778338,0.14160899324001644
Pyrus,inv,0.12761343095223707,0.4210051643721027
Pyrus,syn,0.16976367417490953,0.2290861482355158
Quercus,inv,0.05913373047858883,0.4002737913846754
Quercus,syn,0.084931663117203,0.33009211828774715
Rhododendron,inv,0.07748890866238763,0.11838521294549528
Rhododendron,syn,0.10328993940063999,0.1090163356885836
Rosa,inv,0.1202051458721526,0.43282071225748847
Rosa,syn,0.2313744068873516,0.22990467943572024
Rubus,inv,0.11935958507902628,0.29443923653220083
Rubus,syn,0.19399971090604654,0.16389919862441102
Salix,inv,0.124789020905713,0.2110268383450662
Salix,syn,0.16435510514470345,0.10233093667207559
Salvia,inv,0.09275553911686958,0.3551640562945739
Salvia,syn,0.15255921327423208,0.24614576692939844
Solanum,inv,0.04850910160593744,0.48647909966369507
Solanum,syn,0.08710574828579375,0.3577583286422744
Vaccinium,inv,0.05613855672574278,0.3008575195447335
Vaccinium,syn,0.09353990623517566,0.21718552683247533
Vigna,inv,0.057660618801722914,0.4256880864343967
Vigna,syn,0.12247015848686627,0.19807763099523118
Vitis,inv,0.05519590159208652,0.2942721508456614
Vitis,syn,0.10879285387908114,0.1310378358284064
Acer,alignable_random_4k,0.046205359578143465,0.526716065096827
Acer,inv_breakpoints,0.13881654676258992,0.2411276978417266
Acer,random_4k,0.05096972727272727,0.49580054545454544
Actinidia,alignable_random_4k,0.07090293296089385,0.19448758535071384
Actinidia,inv_breakpoints,0.08261081370449679,0.15430299785867238
Actinidia,random_4k,0.06658429601020725,0.2060776923342184
Arabis,alignable_random_4k,0.10718365625,0.48939771875
Arabis,inv_breakpoints,0.13242401960784314,0.34681372549019607
Arabis,random_4k,0.11184446875,0.4721981875
Arachis,alignable_random_4k,0.09646675,0.498391225
Arachis,inv_breakpoints,0.0736734693877551,0.4649247448979592
Arachis,random_4k,0.097839375,0.497877825
Citrus,alignable_random_4k,0.11863486111111111,0.26516069444444446
Citrus,inv_breakpoints,0.1154344262295082,0.26748565573770494
Citrus,random_4k,0.11864155555555556,0.2605647222222222
Corylus,alignable_random_4k,0.09529043181818182,0.2447758409090909
Corylus,inv_breakpoints,0.09026983394833948,0.27651245387453877
Corylus,random_4k,0.09580877272727273,0.2438395909090909
Corymbia,alignable_random_4k,0.08683027272727273,0.21531731818181818
Corymbia,inv_breakpoints,0.0827060327198364,0.20243711656441718
Corymbia,random_4k,0.08981200563687608,0.2054777252477498
Cucumis,alignable_random_4k,0.07553916993082757,0.3932518959913326
Cucumis,inv_breakpoints,0.24478980891719745,0.08982006369426751
Cucumis,random_4k,0.07671072916666667,0.3809569375
Eukalyptus,alignable_random_4k,0.06178634090909091,0.37137481818181817
Eukalyptus,inv_breakpoints,0.06743882978723405,0.32079255319148936
Eukalyptus,random_4k,0.0705783409090909,0.3448485909090909
Fragaria,alignable_random_4k,0.15269510714285714,0.1742052857142857
Fragaria,inv_breakpoints,0.16932075471698113,0.13336792452830187
Fragaria,random_4k,0.15553007142857142,0.16646957142857144
Glycine,alignable_random_4k,0.06053681434071704,0.4059467723386169
Glycine,inv_breakpoints,0.07177822580645161,0.5179536290322581
Glycine,random_4k,0.06504775,0.3882888375
Gossypium,alignable_random_4k,0.03452025,0.6946631923076924
Gossypium,inv_breakpoints,0.09473833333333333,0.3469291666666667
Gossypium,random_4k,0.033250153846153846,0.7038102692307693
Ipomoea,alignable_random_4k,0.0773619,0.5101934666666667
Ipomoea,inv_breakpoints,0.2566543367346939,0.15354591836734693
Ipomoea,random_4k,0.07094168333333334,0.5296643333333333
Juglans,alignable_random_4k,0.07425225,0.34466465625
Juglans,inv_breakpoints,0.05534577922077922,0.28128246753246755
Juglans,random_4k,0.075400046875,0.3432440625
Malus,alignable_random_4k,0.08833200482381316,0.467963953761986
Malus,inv_breakpoints,0.040578125,0.5278894230769231
Malus,random_4k,0.08730091176470588,0.4678908382352941
Medicago,alignable_random_4k,0.098605125,0.28026159375
Medicago,inv_breakpoints,0.26838263358778625,0.06162309160305344
Medicago,random_4k,0.10070209375,0.25853853125
Phaseolus,alignable_random_4k,0.05974772706609692,0.33059980452768434
Phaseolus,inv_breakpoints,0.20091666666666666,0.10077734375
Phaseolus,random_4k,0.0666531730157287,0.30717083371215564
Populus,alignable_random_4k,0.10788481578947369,0.1837021842105263
Populus,inv_breakpoints,0.19114272388059703,0.10743097014925374
Populus,random_4k,0.10724471052631579,0.17292522368421054
Prunus,alignable_random_4k,0.13638482935366922,0.23011870233779222
Prunus,inv_breakpoints,0.17826508620689654,0.17832758620689657
Prunus,random_4k,0.15103825,0.21016371875
Pyrus,alignable_random_4k,0.14512289705882353,0.31683194117647057
Pyrus,inv_breakpoints,0.12816260162601625,0.3808191056910569
Pyrus,random_4k,0.1473341225954468,0.32189436143302547
Quercus,alignable_random_4k,0.058207416666666664,0.3983845833333333
Quercus,inv_breakpoints,0.08298220973782772,0.26284737827715354
Quercus,random_4k,0.0567425,0.3813460416666667
Rhododendron,alignable_random_4k,0.07524528809908454,0.11133258327563658
Rhododendron,inv_breakpoints,0.13362747524752475,0.11275309405940594
Rhododendron,random_4k,0.07346994230769231,0.11193334615384615
Rosa,alignable_random_4k,0.12927521788826976,0.4221650235747964
