Genus,Species,Range_overlap,Evidence_of_hybridization,Self-compatibility,Reproductive_strategy,Domesticated,Domestication_status,Generation_time,perennial_annual,Linkage_map_length
Acer,yangbiense,N,weak,mixed,mixed-mixed,N,N-N,perennial,perennial_perennial,NA
Acer,truncatum,N,weak,mixed,mixed-mixed,N,N-N,perennial,perennial_perennial,NA
Actinidia,chinensis,N,strong,outcrossing,outcrossing-outcrossing,Y,Y-Y,perennial,perennial_perennial,3445
Actinidia,eriantha,N,strong,outcrossing,outcrossing-outcrossing,Y,Y-Y,perennial,perennial_perennial,3445
Arabis,alpina,Y,strong,mixed,mixed-mixed,N,N-N,perennial,perennial_annual,NA
Arabis,montbretiana,Y,strong,mixed,mixed-mixed,N,N-N,annual,perennial_annual,NA
Arachis,duranensis,Y,strong,selfing,selfing-selfing,N,N-N,annual,annual_annual,1081.3
Arachis,ipaensis,Y,strong,selfing,selfing-selfing,N,N-N,annual,annual_annual,1081.3
Citrus,sinensis,N,strong,selfing,selfing-selfing,Y,Y-Y,perennial,perennial_perennial,895.5
Citrus,trifoliata,N,strong,selfing,selfing-selfing,Y,Y-Y,perennial,perennial_perennial,895.5
Corylus,heterophylla,N,strong,mixed,mixed-outcrossing,Y,Y-Y,perennial,perennial_perennial,762
Corylus,avellana,N,strong,outcrossing,mixed-outcrossing,Y,Y-Y,perennial,perennial_perennial,762
Corymbia,citriodora,Y,strong,mixed,mixed-mixed,Y,Y-N,perennial,perennial_perennial,1179.9
Corymbia,maculata,Y,strong,mixed,mixed-mixed,N,Y-N,perennial,perennial_perennial,1179.9
Cucumis,melo,N,weak,outcrossing,mixed-outcrossing,Y,Y-Y,annual,annual_annual,1150
Cucumis,metuliferus,N,weak,mixed,mixed-outcrossing,Y,Y-Y,annual,annual_annual,1150
Eukalyptus,grandis,Y,weak,mixed,mixed-mixed,Y,Y-Y,perennial,perennial_perennial,1241
Eukalyptus,globulus,Y,weak,mixed,mixed-mixed,Y,Y-Y,perennial,perennial_perennial,1241
Fragaria,vesca,N,strong,selfing,selfing-selfing,N,N-N,perennial,perennial_perennial,433.95
Fragaria,iinumae,N,strong,selfing,selfing-selfing,N,N-N,perennial,perennial_perennial,433.95
